method,parameter,PSNR,SSIM,runtime_seconds
noisy_image,-,20.42101932374621,0.2963928203037887,0.0
gaussian_filter,filter_sigma=1.0,27.17112581790081,0.6387124363352414,0.005655799992382526
tv_chambolle,weight=0.1,28.302924562961444,0.7564608809490185,0.21824499999638647
nlm_denoising,h=0.1,28.710545577037987,0.7426555309319013,0.1787617999361828
tiny_cnn,trained_model,26.479463396768708,0.6279891677888261,0.027086500078439713
