noise_sigma,method,filter_sigma,PSNR,SSIM,runtime_seconds
0.05,noisy_image,,26.157572600516378,0.5214131038495466,0.0
0.05,gaussian_filter,1.0,28.84272080933116,0.7841898883784366,0.007144799979869276
0.1,noisy_image,,20.421019331827708,0.2963928471978835,0.0
0.1,gaussian_filter,1.0,27.171125855326714,0.6387131707414204,0.0031241000397130847
0.15,noisy_image,,17.222988275036517,0.19841129316444928,0.0
0.15,gaussian_filter,1.0,25.31862600800325,0.5202140894635298,0.003529000037815422
0.2,noisy_image,,15.038608065756025,0.14518869283186975,0.0
0.2,gaussian_filter,1.0,23.56103626138321,0.43073299138864113,0.0030304999672807753
