method,noise_sigma,filter_sigma,PSNR,SSIM,runtime_seconds
noisy,0.1,,20.421019331827708,0.2963928471978835,0.0
gaussian_filter,0.1,1.0,27.171125855326714,0.6387131707414204,0.006477500020992011
