method,noise_sigma,filter_sigma,PSNR,SSIM,runtime_seconds
noisy_image,0.1,,20.421019331827708,0.2963928471978835,0.0
gaussian_filter,0.1,0.25,20.432526033624242,0.29672372753743226,0.004484599980060011
gaussian_filter,0.1,0.5,24.021674084320978,0.4176450270606454,0.003934599983040243
gaussian_filter,0.1,1.0,27.171125855326714,0.6387131707414204,0.003947700024582446
gaussian_filter,0.1,1.5,26.408887694740706,0.6896249139300095,0.004239400033839047
gaussian_filter,0.1,2.0,25.421824811134268,0.6920327384949323,0.004291800025384873
gaussian_filter,0.1,3.0,23.930651261695,0.6633698605274982,0.005070200015325099
