method,parameter,PSNR,SSIM,runtime_seconds
noisy_image,-,20.421019331827708,0.2963928471978835,0.0
gaussian_filter,filter_sigma=1.0,27.171125855326714,0.6387131707414204,0.008483499987050891
tv_chambolle,weight=0.1,28.302924553003027,0.7564625467424131,0.2794269999722019
nlm_denoising,h=0.04,21.49183953050106,0.3488487076378086,0.13851260009687394
nlm_denoising,h=0.06,26.573765782168234,0.6162209178903818,0.17117049999069422
nlm_denoising,h=0.08,28.81507958071451,0.7303393968616042,0.1530471999431029
nlm_denoising,h=0.1,28.71054557854591,0.7426570380116012,0.16192440001759678
nlm_denoising,h=0.12,28.20817126641089,0.73661626346345,0.15192380000371486
